标题,链接,作者关键字,索引关键字
"An information framework for creating a smart city through internet of things","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906841638&doi=10.1109%2fJIOT.2013.2296516&partnerID=40&md5=03923eb00e4ca2a0dc6fd8c6e49ebf10","Information management; Internet of Things (IoT); network architecture; noise mapping; smart cities","Embedded systems; Information management; Internet; Mapping; Network architecture; Noise pollution; Population statistics; Cyber physical systems (CPSs); Information and communications technology; Internet of thing (IOT); Internet of Things (IOT); Noise mapping; Real-time information; Smart cities; Urban information system; Internet of things"
"IoT security: Review, blockchain solutions, and open challenges","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85035321551&doi=10.1016%2fj.future.2017.11.022&partnerID=40&md5=2519e8016e9b2f360ee4fecfafc5daba","Blockchain; Data security; IoT protocols; IoT security; Network security","Automation; Digital storage; Intelligent buildings; Internet of things; Internet protocols; Network architecture; Network protocols; Security of data; Smart city; Block-chain; Internet of thing (IOT); IoT security; Layered architecture; Network Capacity; Research problems; Security problems; Security requirements; Network security"
"MES (multi-energy systems): An overview of concepts and evaluation models","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892968092&doi=10.1016%2fj.energy.2013.10.041&partnerID=40&md5=80497ce95b2c5c04a5f2bc93ac46e976","DMG (distributed multi-generation); Integrated energy systems; Microgrid; Polygeneration; Smart cities; VPP (virtual power plant)","Distributed power generation; Environmental management; Power plants; Distributed multi-generation; Integrated energy systems; Micro grid; Poly-generation; Smart cities; Virtual power plants; Energy management; cooling; cost-benefit analysis; integrated approach; optimization; performance assessment; power plant"
"Sensing as a service model for smart cities supported by Internet of Things","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84900641617&doi=10.1002%2fett.2704&partnerID=40&md5=0ba0c099bd06c9598371157614ec5b76",,"Application programs; Electronic commerce; Information technology; Rural areas; Cloud technologies; Information and Communication Technologies; Internet of thing (IOT); Internet of Things (IOT); Resource management; Social perspective; Software applications; Sustainable solution; Internet"
"Long-range communications in unlicensed bands: The rising stars in the IoT and smart city scenarios","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85000692361&doi=10.1109%2fMWC.2016.7721743&partnerID=40&md5=53028e109e23c8bfcd8972c2f0d1066a",,"Frequency bands; Internet of things; Low power electronics; Stars; Basic building block; Cellular technologies; Gigahertz frequencies; Long-range communications; Multi-hop mesh networks; Short-range communication; Transmission technologies; Wireless connectivities; MESH networking"
"Smartmentality: The Smart City as Disciplinary Strategy","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904240075&doi=10.1177%2f0042098013494427&partnerID=40&md5=71c12072f3b11a696d3ab300c60c96d9",,"European Union; local participation; political discourse; private sector; urban design; urban development; urban planning; urban policy; urban politics; Italy"
"Big data, smart cities and city planning","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975096964&doi=10.1177%2f2043820613513390&partnerID=40&md5=3a18333c4db19b6cee4eba4b9073a5bb","big data; managing disruptions; new theory; real-time streaming; shorter time horizons; smart cities","data set; public transport; urban growth; urban planning; England; London [England]; United Kingdom"
"Governing the smart city: a review of the literature on smart urban governance","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973345825&doi=10.1177%2f0020852314564308&partnerID=40&md5=544fd8d85e3c0a74956fb2536589cddf","collaborative governance; e-government; smart city; urban governance","governance approach; information and communication technology; institutional reform; smart city; socioeconomic impact; technological change; urban planning; urban politics"
"The role of big data in smart city","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969143086&doi=10.1016%2fj.ijinfomgt.2016.05.002&partnerID=40&md5=613d659c72f579f784f5d859bc2faa6f","Big data; Cloud computing; Distributed computing; Internet of things; Smart city; Smart environments","Big data; Cloud computing; Data Analytics; Distributed computer systems; Population statistics; Radio frequency identification (RFID); Smart city; Business modeling; Communication technologies; Internet of Things (IOT); Networked services; Real world environments; Smart environment; State of the art; Technological researches; Internet of things"
"Multi-sensor fusion in body sensor networks: State-of-the-art and research challenges","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988027649&doi=10.1016%2fj.inffus.2016.09.005&partnerID=40&md5=0e05c590b432df690432493f5d0b807e","Data-level fusion; Decision-level fusion; Feature-level fusion; Human activity recognition; Multi-sensor data fusion","Body sensor networks; Internet of things; Pattern recognition; Surveys; Data-level fusions; Decision level fusion; Feature level fusion; Human activity recognition; Multisensor data fusion; Sensor data fusion"
"SmartSantander: IoT experimentation over a smart city testbed","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897112118&doi=10.1016%2fj.bjp.2013.12.020&partnerID=40&md5=40630b3ab89f9da1b00f64b0224dfbd4","Experimentation; Internet of Things; Research; Smart city; Testbed","Electronic commerce; Internet; Research; Testbeds; European Commission; Experimental research; Experimentation; Future internet architecture; Internet of Services; Internet of Things (IOT); Large-scale experimentations; Smart cities; Experiments"
"A Smart City Initiative: The Case of Barcelona","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876046624&doi=10.1007%2fs13132-012-0084-9&partnerID=40&md5=52977fbf8decf75afc32155952a7dcf7","A case study; Barcelona; Innovation; Local governments; Smart cities; Urban lab",
"Random access for machine-to-machine communication in LTE-advanced networks: Issues and approaches","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879088015&doi=10.1109%2fMCOM.2013.6525600&partnerID=40&md5=56b6965452b2b75440505a1fedb4da07",,"Autonomous devices; Human interactions; Infrastructure managements; M2m communications; Machine-to-machine communications; Machinetype communication (MTC); Selection algorithm; Sensors and actuators; Communication; Data transfer; Electronic commerce; Mobile telecommunication systems; Reinforcement learning; Safety factor; Standards; Wireless telecommunication systems"
"Internet of Things and Big Data Analytics for Smart and Connected Communities","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979828689&doi=10.1109%2fACCESS.2016.2529723&partnerID=40&md5=3af0f2257a8d298aeee998f0e97a38b5","Big Data Analytics; Internet of Things; Smart and Connected Communities; Smart Cities; Smart Tourism; Sustainable Cultural Heritage","Big data; Internet; Real time control; Community IS; Cultural heritages; Cyber physicals; Data analytics; Internet of Things (IOT); Smart cities; Smart Tourism; Ubiquitous networks; Internet of things"
"Modelling the smart city performance","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860327437&doi=10.1080%2f13511610.2012.660325&partnerID=40&md5=0670c7dc73c46bd13c912b3669533a27","Analytic Network Process; smart city components; triple helix approach","information and communication technology; innovation; model test; model validation; modeling; network analysis; performance assessment; planning method; policy making; urban geography"
"Smart cities as corporate storytelling","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902786716&doi=10.1080%2f13604813.2014.906716&partnerID=40&md5=f4828976b7b9fdba8aad72a75232e58d","actor-network theory; geography; planning; smart cities; storytelling; technology; urban studies",
"State-of-the-art, challenges, and open issues in the integration of Internet of things and cloud computing","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976266081&doi=10.1016%2fj.jnca.2016.01.010&partnerID=40&md5=0afa06883a1956e1401d8b00dc2fd12b","Big data; Cloud computing; Cloud platforms; Infrastructure as a service; Internet of things; Iot middleware","Automation; Big data; Cloud computing; Complex networks; Digital storage; Distributed computer systems; Infrastructure as a service (IaaS); Integration; Intelligent buildings; Internet; Middleware; Radio frequency identification (RFID); Surveys; Wireless sensor networks; Cloud infrastructures; Cloud platforms; Complex analysis; Internet of thing (IOT); Monitoring and management; Multiple systems; State of the art; Wireless sensor and actor networks; Internet of things"
"Urban planning and building smart cities based on the Internet of Things using Big Data analytics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992301555&doi=10.1016%2fj.comnet.2015.12.023&partnerID=40&md5=0de07b6a7cf4e5c8eca1f13f11b4c1f4","Big Data; IoT; Smart City; Urban Planning","Automation; Data handling; Decision making; Information management; Intelligent buildings; Internet; Internet of things; Network security; Population statistics; Urban growth; Urban planning; Analysis and evaluation; Communication medium; Four-tier architectures; Internet of thing (IOT); Map-reduce programming; Smart cities; System implementation; Vehicular networkings; Big data"
"Smart sustainable cities of the future: An extensive interdisciplinary literature review","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015900713&doi=10.1016%2fj.scs.2017.02.016&partnerID=40&md5=f3c5430cd451df2fa3e2a23c434f8fcf","Big data analytics; Computing; ICT; Planning; Smart cities; Smart sustainable cities; Sustainable cities; Sustainable development goals; Sustainable urban forms; Urban sustainability","Big data; Computation theory; Planning; Sustainable development; Urban growth; Urban planning; Computing; Data analytics; Sustainable cities; Urban form; Urban sustainability; Smart city"
"A Survey on the Edge Computing for the Internet of Things","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037656743&doi=10.1109%2fACCESS.2017.2778504&partnerID=40&md5=18536d9f7de0904ba56a9d3d95746050","Edge computing; Internet of Things; survey","Automation; Cloud computing; Complex networks; Computation theory; Computer architecture; Digital storage; Energy utilization; Green computing; Internet of things; Logic gates; Machine-to-machine communication; Network architecture; Network function virtualization; Network security; Servers; Smart city; Surveying; Surveys; Cloud computing architectures; Communication overheads; Distributed structures; Edge computing; Intelligent sensors; Internet of thing (IOT); Monitoring and controlling; Security; Distributed computer systems"
"What are the differences between sustainable and smart cities?","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988735775&doi=10.1016%2fj.cities.2016.09.009&partnerID=40&md5=16c931041c9cb3dcb652e983a9734e0c","Assessment framework; Indicator; Performance measurement; Smart city; Sustainable city","assessment method; conceptual framework; decision making; decision support system; smart city; sustainability; sustainable development; urban development"
"Towards an effective framework for building smart cities: Lessons from Seoul and San Francisco","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905000417&doi=10.1016%2fj.techfore.2013.08.033&partnerID=40&md5=6f68332a26ffe2fc713c755dda7f4013","Case study; Innovation; Smart city; Smart city services; Sustainability","Innovation; Sustainable development; Technological forecasting; Developmental stage; Dynamic process; Metropolitan cities; Open innovation; Public and private sector; San Francisco; Smart cities; Stylized facts; Electronic commerce; information and communication technology; innovation; sustainability; urban development; urban planning; California; San Francisco [California]; Seoul [Seoul (ADS)]; Seoul [South Korea]; South Korea; United States"
"Sustainable-smart-resilient-low carbon-eco-knowledge cities; Making sense of a multitude of concepts promoting sustainable urbanization","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959852122&doi=10.1016%2fj.jclepro.2015.02.004&partnerID=40&md5=e1e9327d226e4bd990d74c16576465d7","Bibliometric analysis; Eco city; Ecological modernization; Smart city; Sustainable city; Urban development","Carbon; Ecology; Bibliometric analysis; Eco cities; Ecological modernizations; Smart cities; Sustainable cities; Urban development; Urban growth"
"Smart health: A context-aware health paradigm within smart cities","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906099686&doi=10.1109%2fMCOM.2014.6871673&partnerID=40&md5=75954c8623b04d0c9b0d2b7eab8cfd17",,"Electronic commerce; Mobile telecommunication systems; Ubiquitous computing; Common ground; Context-Aware; Mobile communications; Mobile health; Smart cities; Health"
"Smart city policies: A spatial approach","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957725270&doi=10.1016%2fj.cities.2014.06.007&partnerID=40&md5=9803f4dbe738b47b427f23461fc8669a","Alternatives; Development; Infrastructure; Policy; Smart city; Strategy","infrastructure; smart city; strategic approach; urban development; urban policy"
"On-demand high-capacity ride-sharing via dynamic trip-vehicle assignment","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009739651&doi=10.1073%2fpnas.1611675114&partnerID=40&md5=b4e3021224a9d8d38442f82f8c2e01eb","Human mobility; Intelligent transportation systems; Ride-sharing; Smart cities; Vehicle routing","algorithm; Conference Paper; experimental study; human; mathematical model; motor vehicle; New York; priority journal; time; travel; validation process; article; city; energy consumption; heuristics; taxis response"
"Applications of big data to smart cities","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84948765779&doi=10.1186%2fs13174-015-0041-5&partnerID=40&md5=835fcf5762180b00fb68faf091753012","Application of big data; Application of smart city; Big data; Smart city","Internet; Big data applications; Data collection; Effective analysis; Issues and challenges; Living standards; Multiple technology; Resource consumption; Smart cities; Big data"
"Towards sustainable smart cities: A review of trends, architectures, components, and open challenges in smart cities","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041485794&doi=10.1016%2fj.scs.2018.01.053&partnerID=40&md5=ce837fe35cad8b7440404313e580638d","Communication in smart cities; Internet of things; IoT applications; Smart city architectures; Wireless sensor network","Internet of things; Network architecture; Population statistics; Wireless sensor networks; Exponential growth; Generic architecture; Human interactions; Information communication technology; Internet of Things (IOT); IOT applications; Literature survey; Real-world implementation; Smart city"
"Everything you wanted to know about smart cities","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983385301&doi=10.1109%2fMCE.2016.2556879&partnerID=40&md5=0c92228489190124f0bb1a6ef185bb8f",,
"Critical interventions into the corporate smart city","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84936776641&doi=10.1093%2fcjres%2frsu011&partnerID=40&md5=1857c7d1fc0a4471ae8b402630503924","corporate; entrepreneurial; governance; inequality; intervention; smart","governance approach; high technology industry; industrial competition; industrial district; model; participatory approach; planning theory"
"Big IoT Data Analytics: Architecture, Opportunities, and Open Research Challenges","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028044013&doi=10.1109%2fACCESS.2017.2689040&partnerID=40&md5=88e135692114ae851cf9c2b0fd8513cc","Big data; data analytics; distributed computing; Internet of Things; smart city","Data mining; Data visualization; Distributed computer systems; Internet of things; Smart city; Data analytics; Future research directions; Internet of Things (IOT); Large data; Research challenges; State of the art; Big data"
"Do LoRa low-power wide-area networks scale?","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007017824&doi=10.1145%2f2988287.2989163&partnerID=40&md5=96fa2e98ebb8099ab1c55a8972fefb40","LoRa; Low-Power Wide-Area Network; Scalability Analysis","Complex networks; Internet of things; Low power electronics; Scalability; Transmitters; Wireless telecommunication systems; Communication medium; Dynamic communication; Internet of Things (IOT); LoRa; Low Power; Scalability analysis; Simultaneous collisions; Wireless communications; Wide area networks"
"The role of advanced sensing in smart cities","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872968810&doi=10.3390%2fs130100393&partnerID=40&md5=bbd4bb23052505cfafb4ae2217cc0dae","Advanced sensing; Internet of things; Sensor networks; Smart cities","Internet of things; Sensor networks; Advanced sensing; Automate process; Design of buildings; Sensing applications; Sensing platforms; Sensing technology; State of the art; Technical challenges; Smart city"
"Towards fog-driven IoT eHealth: Promises and challenges of IoT in medicine and healthcare","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020832978&doi=10.1016%2fj.future.2017.04.036&partnerID=40&md5=bd3ce3dabfad9dcdbf81445b3dcdd947","Big data; eHealth; Fog Computing; Internet of Things","Automation; Big data; Data handling; Ecology; Ecosystems; Fog; Health care; Information management; Intelligent buildings; Network architecture; Patient treatment; Smart city; Distributed environments; Early Warning System; Ehealth; Healthcare services; Internet of Things (IOT); Multi-layer architectures; Population monitoring; Services and applications; Internet of things"
"Smart cities: A conjuncture of four forces","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939416880&doi=10.1016%2fj.cities.2015.05.004&partnerID=40&md5=616cce6545d99d890e4258e6361ecdde","History; Knowledge economy; Market; Policy; Smart city; Technology","strategic approach; urban development; urban economy; urban history; urban planning; urban policy"
"The 'actually existing smart city'","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926341632&doi=10.1093%2fcjres%2frsu026&partnerID=40&md5=fd5064f0bc0ec64cef278468c871d846","data; economic development; governance; smart cities; urban studies","economic development; governance approach; neoliberalism; urban area; urban economy; Abu Dhabi [United Arab Emirates]; Incheon [South Korea]; Kentucky; Louisville; Masdar; Pennsylvania; Philadelphia; Songdo; South Korea; United Arab Emirates; United States"
"UAV-enabled intelligent transportation systems for the smart city: Applications and challenges","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017659064&doi=10.1109%2fMCOM.2017.1600238CM&partnerID=40&md5=1ec7750151c91e6f0f20ed2f96d674c9",,"Integration testing; Intelligent systems; Intelligent vehicle highway systems; Transportation; Unmanned aerial vehicles (UAV); Autonomous operations; Autonomous Vehicles; Emerging technologies; Fully automated; Intelligent transportation systems; ITS applications; Transportation system; Wide field; Smart city"
"Making sense of smart cities: Addressing present shortcomings","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926393361&doi=10.1093%2fcjres%2frsu027&partnerID=40&md5=beb8790cf036e26b4d082344ee3142f2","critical scholarship; empirical research; smart cities; theory","information and communication technology; research; theory; urban service"
"Enabling smart cities through a cognitive management framework for the internet of things","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879097737&doi=10.1109%2fMCOM.2013.6525602&partnerID=40&md5=44a8f3a2484571aa524738b497fe2eef",,"Building blockes; Cognitive managements; Internet of thing (IOT); Internet of Things (IOT); Proof of concept; Real-world objects; Self-reconfigurable; Virtualized environment; Internet; Virtual reality; Electronic commerce"
"Programming environments: Environmentality and citizen sensing in the smart city","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893862137&doi=10.1068%2fd16812&partnerID=40&md5=22259804acc827c82674b85f51b4ebce","Biopolitics 2.0; Citizen sensing; Environmentality; Programmed city; Smart city; Sustainable city",
"Definition methodology for the smart cities model","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84868598720&doi=10.1016%2fj.energy.2012.09.028&partnerID=40&md5=87ce55bbc6d9484e014cea442f533838","Energy; Fuzzy logic; IEE project funding; Smart city model; Sustainability","Carbon dioxide; Fuzzy logic; Sustainable development; Amount of information; City model; Critical factors; Energy; Energy productions; European Commission; Final decision; Innovative systems; Local problems; Policy making; Project funding; Urban model; Electronic commerce; bioindicator; carbon dioxide; carbon emission; computer simulation; energy efficiency; fuzzy mathematics; homogeneity; landscape; numerical model; policy making; stakeholder; sustainable development; urban development"
"The Emerging Internet of Things Marketplace from an Industrial Perspective: A Survey","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961761166&doi=10.1109%2fTETC.2015.2390034&partnerID=40&md5=f5e5beb682b86df4bdfa207b38c97d07","industry solutions; Internet of Things; IoT marketplace","Automation; Commerce; Information services; Intelligent buildings; Internet; Radio frequency identification (RFID); Surveys; Conceptual frameworks; Further development; Global informations; Integral components; Internet of thing (IOT); IoT marketplace; Small and medium enterprise; Systematic exploration; Internet of things"
"Big Data and cloud computing: innovation opportunities and challenges","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994158303&doi=10.1080%2f17538947.2016.1239771&partnerID=40&md5=4854f4fe9f19d26d2308b1f883bd64eb","CyberGIS; digital earth; geoinformatics; geospatial cyberinfrastructure; Smart cities; Spatiotemporal computing",
"Smart City Reference Model: Assisting Planners to Conceptualize the Building of Smart City Innovation Ecosystems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876051127&doi=10.1007%2fs13132-012-0089-4&partnerID=40&md5=905f9cbe5cadf039f1862f5b084c9f46","Green cities; Innovating cities; Intelligent cities; Smart cities; Sustainable cities; Urban innovation ecosystems",
"African urban fantasies: Dreams or nightmares?","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899619611&doi=10.1177%2f0956247813513705&partnerID=40&md5=ebaa0dcaa4c8953f9060e5d991366fb6","African cities; eco-cities; property development; satellite cities; smart cities","marginalization; poverty; urban area; urban population; urban service; China; Dubai [United Arab Emirates]; Shanghai; Singapore [Southeast Asia]; Sub-Saharan Africa; United Arab Emirates"
"Convergence of MANET and WSN in IoT urban scenarios","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883239199&doi=10.1109%2fJSEN.2013.2272099&partnerID=40&md5=ec161af583925c314fc48cdf421c09ad","Mobile ad hoc networks; routing protocols; wireless sensor networks","Communication platforms; Different domains; Environmental Monitoring; Home land security; Internet of Things (IOT); Mobile adhoc network (MANETs); Smart environment; Wireless sensor network (WSNs); Data acquisition; Mobile ad hoc networks; Network security; Routing protocols; Wireless sensor networks"
"IoT Considerations, Requirements, and Architectures for Smart Buildings-Energy Optimization and Next-Generation Building Management Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015153819&doi=10.1109%2fJIOT.2017.2647881&partnerID=40&md5=4b2c15fb64bbc10a3a414c95bbb61f10","Building management systems (BMSs); Internet of Things (IoT); light emitting diode (LED) lighting; power over Ethernet (PoE); Smart building","Automation; Buildings; Cost effectiveness; Ethernet; Intelligent buildings; Light emitting diodes; Lighting; Network security; Smart city; Building management system; Energy optimization; Infrastructure monitoring; Internet of thing (IOT); Internet of Things (IOT); Power over ethernets; Technical challenges; Transportation analysis; Internet of things"
"Machine learning for internet of things data analysis: a survey","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049099526&doi=10.1016%2fj.dcan.2017.10.002&partnerID=40&md5=0d42cf9bed5ff65b61a7cd15a7a15e82","Internet of Things; Machine learning; Smart City; Smart data",
"The role of big data analytics in Internet of Things","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021831334&doi=10.1016%2fj.comnet.2017.06.013&partnerID=40&md5=31f9109703a61e42600596a1de4eb76b","Analytics; Big data; Distributed computing; Internet of Things; Smart city","Data acquisition; Data handling; Distributed computer systems; Information management; Internet of things; Smart city; Analytics; Data analytics; Data collection; Explosive growth; Exponential increase; Future research directions; Internet of thing (IOT); IOT applications; Big data"
"Fostering participaction in smart cities: A geo-social crowdsensing platform","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879104611&doi=10.1109%2fMCOM.2013.6525603&partnerID=40&md5=068390d9ff14d9add5c49512aceece1b",,"Collective action; Human activities; Matching algorithm; Network bandwidth; Number of peoples; Social interactions; Socio-technical issues; Technical aspects; Electronic commerce; Location based services; Mobile devices; Data acquisition"
"Securing smart cities using blockchain technology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013629531&doi=10.1109%2fHPCC-SmartCity-DSS.2016.0198&partnerID=40&md5=34e5295612c26b047f9107f83a6e457d","Blockchain; Security; Smart city; Smart device","Distributed computer systems; Information management; Internet of things; Security of data; Block-chain; Business infrastructure; Communication platforms; Innovative solutions; Interconnected network; Internet of Things (IOT); Security; Smart devices; Smart city"
"Conceptual foundations for understanding smart tourism ecosystems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930089006&doi=10.1016%2fj.chb.2015.03.043&partnerID=40&md5=f310b96a8c36a5b64afaead86e494da0","Open innovation; Sharing economy; Smart technologies; Smart tourism; Tourism experience; Value creation","Ecology; Open innovation; Sharing economy; Smart technology; Smart tourism; Tourism experience; Value creation; Ecosystems"
"Security and Privacy in Smart City Applications: Challenges and Solutions","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009971482&doi=10.1109%2fMCOM.2017.1600267CM&partnerID=40&md5=7de5cd6d33417d15dbdce637944af764",,"Health care; Heterogeneous networks; Intelligent information processing; Intelligent Services; Local residents; Network infrastructure; Physical world; Research efforts; Security and privacy; Sensitive informations; Computer privacy"
"An integrated service-device-technology roadmap for smart city development","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871929303&doi=10.1016%2fj.techfore.2012.09.020&partnerID=40&md5=d8d15559264e3668b0019460363af341","Integrated roadmapping process; Quality function deployment; Service and technology roadmap; Smart city planning and development","Competitive advantage; Future technologies; Planning and development; Products and services; Research and development; Research studies; Roadmap; Roadmapping; Technological change; Technology roadmapping; Technology roadmaps; Technology strategies; Competition; Coordination reactions; Electronic commerce; Industrial management; Quality function deployment; Research; Urban growth; Technology; innovation; mapping; technological change; technological development; urban development; urban planning; Korea"
"Internet-of-Things-Based Smart Cities: Recent Advances and Challenges","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029576329&doi=10.1109%2fMCOM.2017.1600514&partnerID=40&md5=1cfda6ec9fa8b431bba04b5b29883f1d",,"Big data; Digital devices; Internet of things; Traffic congestion; Waste management; Computing capability; Cutting edge technology; Data analytics; Future research directions; Network types; Open sources; Standard bodies; Transportation system; Smart city"
